WP	POS	WPPOS	frac	pat_tp	sample	method	filename	runid
WPF242	B01	WPF242-B01	1	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B01--DDAft30_194b.raw	211231OLc1x194b
WPF242	B03	WPF242-B03	2	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B03--DDAft30_195b.raw	211231OLc1x195b
WPF242	B05	WPF242-B05	3	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B05--DDAft30_196.raw	211231OLc1x196
WPF242	B07	WPF242-B07	4	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B07--DDAft30_197.raw	211231OLc1x197
WPF242	B09	WPF242-B09	5	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B09--DDAft30_198.raw	211231OLc1x198
WPF242	B11	WPF242-B11	6	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B11--DDAft30_199.raw	211231OLc1x199
WPF242	B13	WPF242-B13	7	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B13--DDAft30_200.raw	211231OLc1x200
WPF242	B15	WPF242-B15	8	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B15--DDAft30_201.raw	211231OLc1x201
WPF242	B17	WPF242-B17	9	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B17--DDAft30_202.raw	211231OLc1x202
WPF242	B19	WPF242-B19	10	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B19--DDAft30_203.raw	211231OLc1x203
WPF242	B21	WPF242-B21	11	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B21--DDAft30_204.raw	211231OLc1x204
WPF242	B23	WPF242-B23	12	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-B23--DDAft30_205.raw	211231OLc1x205
WPF242	D23	WPF242-D23	13	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D23--DDAft30_206b.raw	211231OLc1x206b
WPF242	D21	WPF242-D21	14	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D21--DDAft30_207b.raw	211231OLc1x207b
WPF242	D19	WPF242-D19	15	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D19--DDAft30_208b.raw	211231OLc1x208b
WPF242	D17	WPF242-D17	16	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D17--DDAft30_209b.raw	211231OLc1x209b
WPF242	D15	WPF242-D15	17	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D15--DDAft30_210b.raw	211231OLc1x210b
WPF242	D13	WPF242-D13	18	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D13--DDAft30_211b.raw	211231OLc1x211b
WPF242	D11	WPF242-D11	19	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D11--DDAft30_212b.raw	211231OLc1x212b
WPF242	D09	WPF242-D09	20	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D09--DDAft30_213b.raw	211231OLc1x213b
WPF242	D07	WPF242-D07	21	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D07--DDAft30_214b.raw	211231OLc1x214b
WPF242	D05	WPF242-D05	22	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D05--DDAft30_215b.raw	211231OLc1x215b
WPF242	D03	WPF242-D03	23	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D03--DDAft30_216b.raw	211231OLc1x216b
WPF242	D01	WPF242-D01	24	Dn	Dn-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Dn-WPF242-D01--DDAft30_217b.raw	211231OLc1x217b
NA	NA	NA		Dn	Dn-1D-DDAft90	DDAft90	211231OLc1_CS-2170-td210712-Dn-AP20x--DDAft90_304.raw	211231OLc1x304
WPF241	M01	WPF241-M01	1	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M01--DDAft30_099.raw	211231OLc1x099
WPF241	M03	WPF241-M03	2	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M03--DDAft30_100.raw	211231OLc1x100
WPF241	M05	WPF241-M05	3	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M05--DDAft30_101.raw	211231OLc1x101
WPF241	M07	WPF241-M07	4	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M07--DDAft30_102.raw	211231OLc1x102
WPF241	M09	WPF241-M09	5	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M09--DDAft30_103.raw	211231OLc1x103
WPF241	M11	WPF241-M11	6	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M11--DDAft30_104.raw	211231OLc1x104
WPF241	M13	WPF241-M13	7	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M13--DDAft30_105.raw	211231OLc1x105
WPF241	M15	WPF241-M15	8	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M15--DDAft30_106.raw	211231OLc1x106
WPF241	M17	WPF241-M17	9	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M17--DDAft30_107.raw	211231OLc1x107
WPF241	M19	WPF241-M19	10	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M19--DDAft30_108.raw	211231OLc1x108
WPF241	M21	WPF241-M21	11	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M21--DDAft30_109.raw	211231OLc1x109
WPF241	M23	WPF241-M23	12	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-M23--DDAft30_110.raw	211231OLc1x110
WPF241	O23	WPF241-O23	13	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O23--DDAft30_111.raw	211231OLc1x111
WPF241	O21	WPF241-O21	14	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O21--DDAft30_112.raw	211231OLc1x112
WPF241	O19	WPF241-O19	15	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O19--DDAft30_113.raw	211231OLc1x113
WPF241	O17	WPF241-O17	16	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O17--DDAft30_114.raw	211231OLc1x114
WPF241	O15	WPF241-O15	17	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O15--DDAft30_115.raw	211231OLc1x115
WPF241	O13	WPF241-O13	18	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O13--DDAft30_116.raw	211231OLc1x116
WPF241	O11	WPF241-O11	19	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O11--DDAft30_117.raw	211231OLc1x117
WPF241	O09	WPF241-O09	20	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O09--DDAft30_118.raw	211231OLc1x118
WPF241	O07	WPF241-O07	21	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O07--DDAft30_119.raw	211231OLc1x119
WPF241	O05	WPF241-O05	22	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O05--DDAft30_120.raw	211231OLc1x120
WPF241	O03	WPF241-O03	23	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O03--DDAft30_121.raw	211231OLc1x121
WPF241	O01	WPF241-O01	24	Do	Do-2D-DDAft30	DDAft30	211231OLc1_CS-2170-Do-WPF241-O01--DDAft30_122.raw	211231OLc1x122
NA	NA	NA		Do	Do-1D-DDAft90	DDAft90	211231OLc1_CS-2170-td210712-Do-AP20x--DDAft90_307.raw	211231OLc1x307
WPF242	N01	WPF242-N01	1	En	En-2D-DDAft30	DDAft30	211231OLc1_CS-2170-En-WPF242-N01--DDAft30_267.raw	211231OLc1x267
WPF242	N03	WPF242-N03	2	En	En-2D-DDAft30	DDAft30	211231OLc1_CS-2170-En-WPF242-N03--DDAft30_268.raw	211231OLc1x268
WPF242	N05	WPF242-N05	3	En	En-2D-DDAft30	DDAft30	211231OLc1_CS-2170-En-WPF242-N05--DDAft30_269.raw	211231OLc1x269
WPF242	N07	WPF242-N07	4	En	En-2D-DDAft30	DDAft30	211231OLc1_CS-2170-En-WPF242-N07--DDAft30_270.raw	211231OLc1x270
