gene	accnr	Description	type
C4BPB	P20851	C4b-binding protein beta chain	H/MAPP
LPA	P08519	Apolipoprotein(a)	H/MAPP
APOB	P04114	Apolipoprotein B-100	H/MAPP
C1QB	P02746	Complement C1q subcomponent subunit B	H/MAPP
APOH	P02749	Beta-2-glycoprotein 1	H/MAPP
CFB	P00751	Complement factor B	H/MAPP
CP	P00450	Ceruloplasmin	H/MAPP
ORM1	P02763	Alpha-1-acid glycoprotein 1	H/MAPP
A2M	P01023	Alpha-2-macroglobulin	H/MAPP
PLG	P00747	Plasminogen	H/MAPP
FGG	P02679	Fibrinogen gamma chain	H/MAPP
VTN	P04004	Vitronectin	H/MAPP
ITIH4	Q14624	Inter-alpha-trypsin inhibitor heavy chain H4	H/MAPP
APOA1	P02647	Apolipoprotein A-I	H/MAPP
ORM2	P19652	Alpha-1-acid glycoprotein 2	H/MAPP
CFP	P27918	Properdin	H/MAPP
ALB	P02768	Albumin	H/MAPP
HRG	P04196	Histidine-rich glycoprotein	H/MAPP
ITIH2	P19823	Inter-alpha-trypsin inhibitor heavy chain H2	H/MAPP
CFHR2	P36980	Complement factor H-related protein 2	H/MAPP
SERPINC1	P01008	Antithrombin-III	H/MAPP
FN1	P02751	Fibronectin	H/MAPP
CFHR3	Q02985	Complement factor H-related protein 3	H/MAPP
CFHR5	Q9BXR6	Complement factor H-related protein 5	H/MAPP
C3	P01024	Complement C3	H/MAPP
C1QC	P02747	Complement C1q subcomponent subunit C	H/MAPP
C8G	P07360	Complement component C8 gamma chain	H/MAPP
TF	P02787	Serotransferrin	H/MAPP
C4BPA	P04003	C4b-binding protein alpha chain	H/MAPP
HPX	P02790	Hemopexin	H/MAPP
SERPING1	P05155	Plasma protease C1 inhibitor	H/MAPP
C7	P10643	Complement component C7	H/MAPP
RBP4	P02753	Retinol-binding protein 4	H/MAPP
APCS	P02743	Serum amyloid P-component	H/MAPP
C4B	P0C0L5	Complement C4-B	H/MAPP
FGL1	Q08830	Fibrinogen-like protein 1	H/MAPP
PROS1	P07225	Vitamin K-dependent protein S	H/MAPP
CFH	P08603	Complement factor H	H/MAPP
A1BG	P04217	Alpha-1B-glycoprotein	H/MAPP
C8B	P07358	Complement component C8 beta chain	H/MAPP
FGB	P02675	Fibrinogen beta chain	H/MAPP
C1QA	P02745	Complement C1q subcomponent subunit A	H/MAPP
ITIH1	P19827	Inter-alpha-trypsin inhibitor heavy chain H1	H/MAPP
C6	P13671	Complement component C6	H/MAPP
C5	P01031	Complement C5	H/MAPP
FGA	P02671	Fibrinogen alpha chain	H/MAPP
